Original	Article	Author	PostAuthor	No	Month	Year
Successful bicentennial presentation - Spurgeon, BICENTENNIAL, 10 - September 1988	Successful bicentennial presentation - Spurgeon		BICENTENNIAL	10	9	1988
William Whale, Brisbane's leading pastor, O'Leary, Patrick, WHALE, REV. WILLIAM, 10 - September 1988	William Whale	O'Leary, Patrick	WHALE, REV. WILLIAM	10	9	1988
Amongst the branches, Smith, Helen, FAMILY HISTORY, 11 - November 1988	Amongst the branches	Smith, Helen	FAMILY HISTORY	11	11	1988
Computers, Parker, David, COMPUTERS, 11 - November 1988	Computers	Parker, David	COMPUTERS	11	11	1988
Family Histories - help is at hand, Parker, David, FAMILY HISTORY, 11 - November 1988	Family Histories - help is at hand	Parker, David	FAMILY HISTORY	11	11	1988
Family history our way, Parker, Del and John, FAMILY HISTORY, 11 - November 1988	Family history our way	Parker, Del and John	FAMILY HISTORY	11	11	1988
Baptist churches and social issues 1919-39, Buch, Neville, SOCIAL ISSUES, 12 - April 1989	Baptist churches and social issues 1919-39	Buch, Neville	SOCIAL ISSUES	12	4	1989
Exploring Baptist Brisbane (rev), Parker, David, HISTORICAL SITES, 12 - April 1989	Exploring Baptist Brisbane (rev)	Parker, David	HISTORICAL SITES	12	4	1989
Henri Nielsen, the man and his ministry, Chataway, Ellen, NIELSEN, HENRI, 12 - April 1989	Henri Nielsen, the man and his ministry	Chataway, Ellen	NIELSEN, Henri	12	4	1989
Boonah Baptist Church 1887-1987, Chataway, Ellen, BOONAH BAPTIST CHURCH (review), 13 - July 1989	Boonah Baptist Church 1887-1987	Chataway, Ellen	BOONAH BAPTIST CHURCH (review)	13	7	1989
Reflections on college life, McPherson, Don, COLLEGE LIFE, 13 - July 1989	Reflections on college life	McPherson, Don	COLLEGE LIFE	13	7	1989
T.J. Malyon, Nickerson, S.W., MALYON, REV. T.J, 13 - July 1989	T.J. Malyon	Nickerson, S.W.	MALYON, REV. T.J	13	7	1989
Doing local church history, Parker, David, LOCAL CHURCH HISTORY, 14 - November 1989	Doing local church history	Parker, David	LOCAL CHURCH HISTORY	14	11	1989
Milestone for Clifford House, Parker, David, CLIFFORD HOUSE, 14 - November 1989	Milestone for Clifford House	Parker, David	CLIFFORD HOUSE	14	11	1989
The unfinished chapter: book review, Chataway, Ellen, HODGSON, REV. R. W., 14 - November 1989	The unfinished chapter: book review	Chataway, Ellen	HODGSON, REV. R. W.	14	11	1989
Historical thanksgiving service at Marburg, Scanlan, Richard A., MARBURG BAPTIST CHURCH, 12 - April 1989	Historical thanksgiving service at Marburg	Scanlan, Richard A.	MARBURG BAPTIST CHURCH	12	34	1989
Christian Endeavour (CE) Origins, Godman, Pat, CHRISTIAN ENDEAVOUR, 15 - April 1990	Christian Endeavour (CE) Origins	Godman, Pat	CHRISTIAN ENDEAVOUR	15	4	1990
Christian Endeavour, its impact on my life, Chataway, Ellen, CHRISTIAN ENDEAVOUR, 15 - April 1990	Christian Endeavour, its impact on my life	Chataway, Ellen	CHRISTIAN ENDEAVOUR	15	4	1990
Treasure trove of books and papers, Parker, David, LIBRARY - G.J. MORGANS, 15 - April 1990	Treasure trove of books and papers	Parker, David	LIBRARY - G.J. MORGANS	15	4	1990
Matron's view of aged care, Lord, Emily, AGED CARE, 16 - August 1990	Matron's view of aged care	Lord, Emily	AGED CARE	16	8	1990
Vision for aged care, Lockhart, Max, AGED CARE, 16 - August 1990	Vision for aged care	Lockhart, Max	AGED CARE	16	8	1990
Label and date all documents, Smith, Ken, DOCUMENTS, 17 - November 1990	Label and date all documents	Smith, Ken	DOCUMENTS	17	11	1990
Social issues and the Baptist Union 1938-73, Smith, Ken, SOCIAL ISSUES, 17 - November 1990	Social issues and the Baptist Union 1938-73	Smith, Ken	SOCIAL ISSUES	17	11	1990
Traditional Queensland Baptists, Ball, Dr. L.J., QUEENSLAND BAPTISTS, 17 - November 1990	Traditional Queensland Baptists	Ball, Dr. L.J.	QUEENSLAND BAPTISTS	17	11	1990
Baptist Union archives - a guide, Parker, David, ARCHIVES, 18 - April 1991	Baptist Union archives - a guide	Parker, David	ARCHIVES	18	4	1991
Dr G.J. Morgans, Parker, David, MORGANS, DR. G.J., 18 - April 1991	Dr G.J. Morgans	Parker, David	MORGANS	18	4	1991
Flashback - Queensland Baptists, QUEENSLAND BAPTISTS, 18 - April 1991	Flashback - Queensland Baptists			18	4	1991
Miss Martha Plested, Parker, David, PLESTED, MARTHA, 18 - April 1991	Miss Martha Plested	Parker, David	PLESTED	18	4	1991
Rev B.G. Wilson, Parker, David, WILSON, REV. B.G., 18 - April 1991	Rev B.G. Wilson	Parker, David	WILSON, REV. B.G.	18	4	1991
Camping - insights of a director, Knights, John, CAMPING IN QUEENSLAND, 19 - August 1991	Camping - insights of a director	Knights, John	CAMPING IN QUEENSLAND	19	8	1991
Camping - memories of an early camper, Hodgson, Ralph, CAMPING IN QUEENSLAND, 19 - August 1991	Camping - memories of an early camper	Hodgson, Ralph	CAMPING IN QUEENSLAND	19	8	1991
Camping - the writer's perspective, Maxwell, Joan, CAMPING IN QUEENSLAND, 19 - August 1991	Camping - the writer's perspective	Maxwell, Joan	CAMPING IN QUEENSLAND	19	8	1991
Petrie Terrace ceases ministry after 121 years, Parker, David, PETRIE TERRACE, 19 - August 1991	Petrie Terrace ceases ministry after 121 years	Parker, David	PETRIE TERRACE	19	8	1991
When a padre is not a padre!, Williams, Rev. Melvin C., KERR, ROBERT, 19 - August 1991	When a padre is not a padre!	Williams, Rev. Melvin C.	KERR, ROBERT	19	8	1991
Key Queensland Baptist - Rev. Ralph Sayce, Parker, David, SAYCE, REV. RALPH, 20 - December 1991	Key Queensland Baptist - Rev. Ralph Sayce	Parker, David	SAYCE, REV. RALPH	20	12	1991
Opposition to state aid in schools (1), Smith, Ken, STATE AID, 20 - December 1991	Opposition to state aid in schools (1)	Smith, Ken	STATE AID	20	12	1991
The Enquiry, Parker, David, MISSIONS - BAPTIST, 20 - December 1991	The Enquiry	Parker, David	MISSIONS - BAPTIST	20	12	1991
25 years at Gladstone, , GLADSTONE BAPTIST CHURCH (Review), 21 - March 1992	25 years at Gladstone	Parker, David	GLADSTONE BAPTIST CHURCH (Review)	21	3	1992
Johann George Schneider, SCHNEIDER, J. G., 21 - March 1992	Johann George Schneider		SCHNEIDER, J. G.	21	3	1992
Opposition to state aid in schools (2), Smith, Ken, STATE AID, 21 - March 1992	Opposition to state aid in schools (2)	Smith, Ken	STATE AID	21	3	1992
The Serampore Trio (1), Jessup, Richard (adapted), CAREY, William, 21 - March 1992	The Serampore Trio (1)	Jessup, Richard (adapted)	CAREY, William	21	3	1992
Our Heroic Carey, Manley, Ken, CAREY, William, 22 - July 1992	Our Heroic Carey	Manley, Ken	CAREY	22	7	1992
Adam, Doug, BRIBIE ISLAND BAPTIST CHURCH (Review), 23 - December 1992	Bribie Island Baptist Church	Adam, Doug	Bribie Island Baptist Church (Review)	23	12	1992
Great Queensland Baptist, Parker, David, KINGSFORD, REV. JOHN, 23 - December 1992	Great Queensland Baptist	Parker, David	KINGSFORD, REV. JOHN	23	12	1992
Historical theses in BTCQ Library, BIBLIOGRAPHY, 23 - December 1992	Historical theses in BTCQ Library		BIBLIOGRAPHY	23	12	1992
Scanlan, Richard A., DUNLOP, REV. D. (Book Review), 23 - December 1992	DUNLOP, REV. D.	Scanlan, Richard A	Book Review	23	12	1992
Secretary's report 1992, Chataway, Ellen, BHSQ - REPORT, 23 - December 1992	Secretary's report 1992	Chataway, Ellen	BHSQ - REPORT	23	12	1992
The Serampore Trio (2), Jessup, Richard (adapted), CAREY, William, 23 - December 1992	The Serampore Trio (2)	Jessup, Richard (adapted)	CAREY, William	23	12	1992
All the presidential men, Parker, David, PRESIDENTS - BAPTIST UNION, 24 - April 1993	All the presidential men	Parker, David	PRESIDENTS - BAPTIST UNION,	24	4	1993
Counting Baptists, Parker, David, STATISTICS AND CENSUS - BAPTIST, 24 - April 1993	Counting Baptists	Parker, David	STATISTICS AND CENSUS - BAPTIST	24	4	1993
Histories of Qld Baptist churches in BTCQ Library, BIBLIOGRAPHY, 24 - April 1993	Histories of Qld Baptist churches in BTCQ Library		BIBLIOGRAPHY	24	4	1993
History of the Sandgate Baptist Church, Maxwell, Joan and John, SANDGATE BAPTIST CHURCH, 24 - April 1993	History of the Sandgate Baptist Church	Maxwell, Joan and John	SANDGATE BAPTIST CHURCH	24	4	1993
Thanksgiving, WHITE, REV. J.E., 24 - April 1993	Thanksgiving		WHITE, REV. J.E.	24	4	1993
Church Histories in Baptist Archives, ARCHIVES, 25 - August 1993	Church Histories in Baptist Archives		ARCHIVES	25	8	1993
Communion Tokens - Book by Rev M.C. Williams, TOKENS, COMMUNION, 25 - August 1993	Communion Tokens - Book by Rev M.C. Williams	Williams, Rev M.C.	TOKENS, COMMUNION	25	8	1993
Dart Family of Queensland, Parker, Joyce E., DART FAMILY, 25 - August 1993	Dart Family of Queensland	Parker, Joyce E.	DART FAMILY	25	8	1993
Managing Church Records - a Guide, Parker, David, CHURCH RECORDS, 25 - August 1993	Managing Church Records - a Guide	Parker, David	CHURCH RECORDS	25	8	1993
Review, Christian Camping (vol 2) by Joan Maxwell, Parker, David, CAMPING IN QUEENSLAND, 25 - August 1993	Review, Christian Camping (vol 2) by Joan Maxwell	Parker, David	CAMPING IN QUEENSLAND	25	8	1993
Review, Parker, David, WHITE, REV John E. - Biography, 25 - August 1993	Review	Parker, David	WHITE, REV John E. - Biography	25	8	1993
Annual reports 1993, BHSQ - REPORT, 26 - December 1993	Annual reports 1993		BHSQ - REPORT	26	12	1993
Mr Ebenezer Hooker - first lay president, Williams, Rev. Melvin C., Cameos (1), 26 - December 1993	Mr Ebenezer Hooker - first lay president	Williams, Rev. Melvin C.	Cameos (1)	26	12	1993
One hundred years ago, Williams, Rev. Melvin C., 1893, 26 - December 1993	One hundred years ago	Williams, Rev. Melvin C.	1893	26	12	1993
The Dart family (NSW), Dart, Mr Philip, DART FAMILY, 26 - December 1993	The Dart family (NSW)		DART FAMILY	26	12	1993
Baptist Pioneer - Mr Thomas Woolley, Cooper, Rev. S., WOOLLEY, Mr Thomas, 27 - April 1994	Baptist Pioneer - Mr Thomas Woolley	Cooper, Rev. S.	WOOLLEY, Mr Thomas	27	4	1994
Bernard Gilmore Wilson, Williams, Rev. Melvin C., WILSON, Mr Bernard Gilmore - Cameos (2), 27 - April 1994	Bernard Gilmore Wilson	Williams, Rev. Melvin C.	WILSON, Mr Bernard Gilmore - Cameos (2)	27	4	1994
Give me a mountain (review), Parker, David, KNIGHTS, Rev. John - autobiography, 27 - April 1994	Give me a mountain (review)	Parker, David	KNIGHTSKNIGHTS, Rev. John - autobiography	27	4	1994
Launch for first BHSQ Book, Baptists in Queensland - book, 27 - April 1994	Launch for first BHSQ Book		Baptists in Queensland - book	27	4	1994
Recent acquisitions for the Archives, Parker, David, Archives, Baptist Union, 27 - April 1994	Recent acquisitions for the Archives	Parker, David	Archives	27	4	1994
Baptist life and faith in the recent past, Weston, Rev. Norman E., History - Qld Baptist, 28 - June 1994	Baptist life and faith in the recent past	Weston, Rev. Norman E.	History - Qld Baptist	28	6	1994
James Swan - pioneer Baptists and Publisher, Williams, Rev. Melvin C., Swan, James, 28 - June 1994	James Swan - pioneer Baptists and Publisher	Williams, Rev. Melvin C.	Swan, James	28	6	1994
The BHSQ - an outline history after ten years, Parker, David, Baptist Historical Society of Qld, 28 - June 1994	The BHSQ - an outline history after ten years	Parker, David	Baptist Historical Society of Qld	28	6	1994
The way we were - a century ago, Ball, Dr. L.J., History - Qld Baptist, 28 - June 1994	The way we were - a century ago	Ball, Dr. L.J.	History - Qld Baptist	28	6	1994
Annual Reports 1994 - Secretary, Treasurer, ,29 - Dec 1994	Annual Reports 1994 - Secretary	Secretary, Treasurer		29	12	1994
Archives news, ,29 - Dec 1994	Archives news			29	12	1994
James H. Cole and the Queensland Baptists, Harding, Ann, Cole, James H., 29 - Dec 1994	James H. Cole and the Queensland Baptists	Harding, Ann	Cole, James H.	29	12	1994
Leadership change for BHSQ, Ball, Dr. L.J., 29 - Dec 1994	Leadership change for BHSQ	Ball, Dr. L.J.		29	12	1994
Medals honour, ,29 - Dec 1994	Medals honour			29	12	1994
New decade for BHSQ, ,29 - Dec 1994	New decade for BHSQ			29	12	1994
Thomas Blacket Stephens - Cameos No 4, Williams, Rev. Melvin C., Stephens, Thomas Blacket, 29 - Dec 1994	Thomas Blacket Stephens - Cameos No 4	Williams, Rev. Melvin C.	Stephens, Thomas Blacket	29	12	1994
Ball, Dr. L.J., Editorial, 30 - April 1995	Editorial	Ball, Dr. L.J.	Editorial	30	4	1995
Baptist principles - rediscovering an identity, Parker, David, Baptist principles, 30 - April 1995	Baptist principles - rediscovering an identity	Parker, David	Baptist principles	30	4	1995
News, Hamburg Passenger Lists, 30 - April 1995	News, Hamburg Passenger Lists			30	4	1995
Pastoral Profiles 02 - Rev. A.G. Weller, Higlett, Rev. W., Weller, Rev. Alfred George, 30 - April 1995	Pastoral Profiles 02 - Rev. A.G. Weller	Higlett, Rev. W.	Weller, Rev. Alfred George	30	4	1995
