View	Location	Denom	Name	Date
6396	Lawnton	B	Lawnton Baptist Church	1967
3764	Leichhardt	B	Leichhardt Baptist Church	1969
3786	Longreach	B	Longreach Baptist Church	1996
3804	Mackay	B	Mackay Baptist Church	2012
6373	Mackay	B	Mackay Baptist Church	1959
2102	Mackenzie	B	Gateway Baptist Church	1993
5263	Magnetic Island	B	Magnetic Island Baptist Church	1967
3829	Maleny	B	Maleny Baptist Church	1990
3830	Maleny	B	Maleny Baptist Church	1914
2103	Manly	B	Eastside Community Church	1977
4913	Manly West	B	Eastside Community Church	1976
6349	Manly West	B	Manly West Baptist Church	1954
6350	Manly West	B	Manly West Baptist Church	1958
2104	Mansfield	B	Baptist Church Mansfield	1974
3855	Marburg	B	German Baptist Church	1905
6414	Marburg	B	German Baptist Church	1882
3860	Mareeba	B	Mareeba Baptist Church	1993
3865	Margate	B	Margate Baptist Church	1936
6334	Margate	B	Margate Baptist Church	1947
6058	Maroochydore	B	Maroochydore Baptist Church	1940
3892	Maryborough	B	Maryborough Baptist Church	1884
2105	Middle Park	B	Centenary Baptist Church	1983
6336	Millbank  (Bundaberg)	B	Payne Street Baptist Church	1943
3934	Millbank (Bundaberg)	B	Bundaberg West Baptist Church	1963
3943	Minden	B	Minden Baptist Church	1884
3967	Monto	B	Monto Baptist Church	1932
3984	Moranbah	B	Moranbah Christian Fellowship	1980
6835	Mount Berryman	B	Mount Berryman Baptist Church	1943
2420	Mount Gravatt	B	Mount Gravatt Baptist Church	1964
4023	Mount Isa	B	Mount Isa Baptist Church	1966
4037	Mount Morgan	B	Mount Morgan Baptist Church	1902
6069	Moura	B	Moura Baptist Church	1967
4057	Mudgeeraba	B	Mosaic Gold Coast Christian Family	2005
4067	Mundubbera	B	Mundubbera Baptist Church	1974
4078	Murgon	B	Murgon District Baptist Church	1965
6294	Murgon	B	Murgon Baptist Church	1921
6498	Murgon	B	Murgon Baptist Church	1930
6357	Murrumba	B	Murrumba Baptist Church	1955
4086	Murrumba Downs	B	North Pine Baptist Church	1985
6145	Nambour	B	Nambour Baptist Church	1914
6146	Nambour	B	Nambour Baptist Church	1921
6147	Nambour	B	Nambour Baptist Church	1952
4101	Nanango	B	Nanango Baptist Church	1998
4102	Nanango	B	Nanango Baptist Church	1936
6319	Nerimbera	B	Nerimbera Baptist Mission Hall	1911
4121	New Beith (Greenbank)	B	New Beith Greenbank  Baptist Church	2007
4124	Newmarket	B	Grange Baptist Church	1919
3512	Nikenbah	B	Hervey Bay Baptist Church	1998
4140	Noosaville	B	Noosaville Baptist Church	1995
6326	Noosaville	B	Noosaville Baptist Church	1958
4172	Norman Gardens (Rockhampton)	B	Rockhampton Baptist Tabernacle	1993
6328	Norman Park	B	Norman Park Baptist Church	1936
6339	Norman Park	B	Norman Park Baptist Church	1960
4176	North Tamborine	B	Liberty Baptist Church	2000
4188	Norville	B	Bundaberg Baptist Church	1977
2525	Nundah	B	Nundah Baptist Church	1889
4196	Nundah	B	North-East Baptist Church	2003
6156	Nundah	B	Nundah Baptist Church	1923
2354	Oxley	B	Vietnam Grace Church	1930
2107	Paddington	B	Rosalie Baptist Church	1925
6150	Paddington	B	Rosalie Baptist Church	1884
6315	Palen Creek	B	Palen Creek Baptist Church	1900
6153	Palm Beach	B	Palm Beach Baptist Church	1928
6154	Palm Beach	B	Palm Beach Baptist Church	1969
6168	Park Avenue (Rockhampton)	B	Park Avenue Baptist Church	1904
6847	Park Ridge	B	Park Ridge Baptist Church	1985
4245	Park Ridge	B	Park Ridge Baptist Church	1966
4246	Park Ridge	B	Zomi Baptist Church	1993
2346	Petrie Terrace	B	Petrie Terrace Baptist Church	1895
6335	Pie Creek	B	Pie Creek Baptist Church	1945
6316	Pinkenba	B	Pinkenba Baptist Church	1902
6164	Port Curtis (Rockhampton)	B	Port Curtis Road Baptist Church	1912
4292	Proston	B	Proston Baptist Church	1967
287	Red Hill	B	Windsor Road Baptist Church	1887
4318	Redbank	B	Kruger Parade Baptist Church	1992
4350	Redland Bay	B	Redland Bay Baptist Church	1906
4355	Reedy Creek	B	Reedy Creek Baptist Church	2001
4376	Roadvale	B	Roadvale Baptist Church	1947
4384	Rochedale	B	New Heart Baptist Church	1992
305	Rockhampton	B	Rockhampton Baptist Church	1864
4967	Rockhampton	B	Baptist Tabernacle Rockhampton	1906
6331	Rockhampton	B	Denison Street Baptist Church	1936
6405	Rockhampton	B	Rockhampton Baptist Tabernacle	1977
5198	Rockhampton (Lake's Creek)	B	Lake's Creek Baptist Church	1914
4401	Rockville	B	Northside Baptist Church	1942
6376	Roma	B	Roma Baptist Church	1961
4422	Rosewood	B	Rosewood Baptist Church	1961
5276	Rosewood	B	Rosewood Baptist Church	1969
1990	Runcorn	B	Sunnybank District Baptist Church	1974
2108	Salisbury	B	Salisbury Baptist Church	1958
286	Sandgate	B	Sandgate Baptist Church	1887
4453	Scarborough	B	Scarborough Baptist Church	1952
6278	Selene	B	Selene Baptist Church	1933
4461	Seventeen Mile Rocks	B	Riverlife Baptist Church	2017
826	Sherwood	B	Sherwood Baptist Church	1966
140	Silkstone	B	Silkstone Baptist Church	1929
4468	Silkstone	B	Silkstone Baptist Church	1912
1988	South Brisbane	B	South Brisbane Baptist Church	1874
2537	South Brisbane	B	Slavic Evangelical Baptist Church	1941
4508	Southport	B	Southport Baptist Church	1952
6386	Southpot	B	Southport Baptist Church	1975
6141	Speedwell	B	Speedwell Baptist Church	1916
2384	Spring Hill	B	City Tabernacle Baptist Church	1889
6309	Spring Hill (Fortitude Valley)	B	Fortescue Street Baptist Church	1876
1989	Stafford Heights	B	Stafford Heights Baptist Church	1977
6368	Stanthorpe	B	Stanthorpe Baptist Church	1958
6369	Stanthorpe	B	Stanthorpe Baptist Church	2004
3377	Sun Valley (Gladstone)	B	Gladstone Baptist Church	1997
6390	Sun Valley (Gladstone)	B	Gladstone Baptist Church	1989
6362	Sunnybank	B	Sunnybank Baptist Church	1957
6275	Tarampa	B	Tarampa Baptist Church	1926
6303	Tarampa	B	Tarampa Baptist Church	1965
1991	Taringa	B	Taringa Baptist Church	1979
6240	Taringa	B	Taringa Baptist Church	1891
6337	Tarragindi	B	Tarragindi Baptist Church	1953
6866	Tarragindi	B	Tarragindi Baptist Church	1949
6241	Tenthill	B	Tenthill Baptist Church	1881
6225	Thangool	B	Thangool Baptist Church	1932
1992	The Gap	B	The Gap Baptist Church	1959
4665	Tieri	B	Tieri Community Church	1987
4667	Tin Can Bay	B	Tin Can Bay Community Baptist Church	1952
6358	Toogoolawah	B	Toogoolawah Baptist Church	1957
801	Toowong	B	Toowong Baptist Church	1881
3258	Toowoomba	B	Toowoomba Central Baptist War MemorialChurch	1954
6113	Toowoomba	B	Toowoomba Baptist Church	1881
6143	Torquay	B	Torquay Baptist Church	1919
4958	Townsville	B	Townsville Baptist Church	1922
6312	Townsville	B	Townsville Baptist Church	1893
4709	Tugun	B	Tugun Baptist Church	1980
4986	Tugun	B	Tugun Baptist Church	1925
6399	Tugun	B	Tugun Baptist Church	1967
4727	Upper Coomera	B	Crosslife Baptist Church	2013
4732	Upper Mount Gravatt	B	Upper Mount Gravatt Baptist Church	1958
4734	Upper Tenthill	B	Tenthill Baptist Church	1951
3513	Urraween (Hervey Bay)	B	Fraser Coast Baptist Church	1993
6276	Vernor (Fernvale)	B	Vernor Baptist Church	1869
4740	Victoria Point	B	Victoria Point Baptist Church	1986
